,store,sido,gugun,address
418,대방트리플라온,경기도,고양시,경기도 고양시 일산동구 중산동 1682 B동 1
419,문정법조단지,서울,송파구,서울시 송파구 문정동 400-7
420,목포북항점,전라남도,목포시,"전남 목포시 고하대로 730, 1층"
421,달동목화점,울산,남구,울산광역시 남구 달동 1278-1번지
422,익산 영등점,전라북도,익산시,전북 익산시 영등동 747-7
423,울산시청점,울산,남구,울산광역시 남구 신정동 186-11번지
424,대전청사점,대전,서구,대전시 서구 월평동 236번지
425,광교도청역점,경기도,수원시,"경기도 수원시 영통구 이의동 1351-1 태영데시앙 104,105호"
426,충주연수점,충청북도,충주시,충북 충주시 연수동 1475
427,충남 홍성점,충청남도,홍성군,충남 홍성군 홍성읍 대교리 392-1
428,평화광장점,전라남도,목포시,전라남도 목포시 상동 1137
429,양재사옥점,서울,서초구,서울시 서초구 남부순환로 2620 1층
430,광주 충장점,광주,동구,광주광역시 동구 광산동 79-6
431,대구 칠곡3지구점,대구,북구,대구광역시 북구 동천동 904-1
432,여의도 KBS 본관점,서울,영등포구,서울시 영등포구 여의도동 17-10 교육시설공제회관 1층
433,종로2가점,서울,종로구,서울시 종로구 관수동 3-1
434,삼성역점,서울,강남구,서울시 강남구 삼성동 168-21 석광빌딩 1층
435,태화강대공원점,울산,중구,울산광역시 중구 태화동 482-10번지
436,논현역점,서울,강남구,서울시 강남구 논현동 122-8 동화히스110호
437,여수교동점,전라남도,여수시,전라남도 여수시 교동 345-3
438,구미인동점,경상북도,구미시,경상북도 구미시 인동남길 130
439,영풍문고IFC점,서울,영등포구,서울 영등포구 여의도동 23 IFC B2F 영풍문고내
440,부천소풍점,경기도,부천시,경기도 부천시 원미구 송내대로 239  (상동 소풍 2층 F01-2호)
441,포항 중앙점,경상북도,포항시,경상북도 포항시 북구 대흥동 725
442,장미의거리점,전라남도,목포시,전라남도 목포시 상동 1003-1 1층
443,인천작전역점,인천,계양구,인천시 계양구 작전동 864-24 2층
444,평택 서정점,경기도,평택시,경기도 평택시 서정동 801-9
445,대구수변공원점,대구,달서구,대구광역시 달서구 도원동 949-1
446,수원역 로데오점,경기도,수원시,경기도 수원시 팔달구 매산로1가 57-69
447,인천 스퀘어원점,인천,연수구,"인천광역시 연수구 청능대로 210, 스퀘어원 (3F)"
448,부산 화명 산성점,부산,북구,부산 북구 화명동 1567-22번지
449,여수 엑스포점,전라남도,수정동,여수시 수정동 215-1
450,이수역점,서울,동작구,서울 동작구 사당동 139-36
