,store,sido,gugun,address
1548,당진문예의전당  ,충청남도,당진시,충청남도 당진시 시청1로 78 (읍내동) 1층1522-3232
1549,아산방축DT  ,충청남도,아산시,충청남도 아산시 온천대로 1392 (방축동)1522-3232
1550,아산배방  ,충청남도,아산시,충청남도 아산시 배방읍 배방로 22 1522-3232
1551,아산탕정  ,충청남도,아산시,충청남도 아산시 탕정면 탕정면로 10 1522-3232
1552,아산용화  ,충청남도,아산시,충청남도 아산시 어의정로 117 (용화동)1522-3232
1553,아산터미널  ,충청남도,아산시,충청남도 아산시 번영로 232 (모종동)1522-3232
1554,아산권곡  ,충청남도,아산시,충청남도 아산시 문화로 271-6 (권곡동) 101~105호1522-3232
1555,충북증평  ,충청북도,증평군,충청북도 증평군 증평읍 광장로 40 1522-3232
1556,청주용암DT  ,충청북도,청주시,충청북도 청주시 상당구 1순환로 1243 (용암동)1522-3232
1557,청주용담DT  ,충청북도,청주시,충청북도 청주시 상당구 산성로 129 (용담동)1522-3232
1558,청주서문  ,충청북도,청주시,충청북도 청주시 상당구 무심동로392번길 20 (서문동)1522-3232
1559,충주호암DT  ,충청북도,충주시,충청북도 충주시 중원대로 3245 (호암동)1522-3232
1560,충주시청DT  ,충청북도,충주시,충청북도 충주시 국원대로 208-1 (금릉동)1522-3232
1561,충주터미널  ,충청북도,충주시,충청북도 충주시 봉계13길 2 (봉방동)1522-3232
1562,충주연수  ,충청북도,충주시,충청북도 충주시 계명대로 227 (연수동)1522-3232
1563,충북혁신도시  ,충청북도,음성군,충청북도 음성군 맹동면 원중로 1416 1522-3232
1564,제천DT  ,충청북도,제천시,충청북도 제천시 의림대로 181 (중앙로2가)1522-3232
1565,청주비하DT  ,충청북도,청주시,충청북도 청주시 흥덕구 2순환로 1078 (비하동)1522-3232
1566,청주오송  ,충청북도,청주시,충청북도 청주시 흥덕구 오송읍 오송생명로 220 1522-3232
1567,청주봉명DT  ,충청북도,청주시,충청북도 청주시 흥덕구 1순환로 514 (봉명동)1522-3232
1568,청주강서  ,충청북도,청주시,충청북도 청주시 흥덕구 강서로 121 (강서동)1522-3232
1569,청주지웰시티  ,충청북도,청주시,충청북도 청주시 흥덕구 대농로 43 (복대동) 신영지웰시티 1차 상업시설1522-3232
